""	"samples"	"Name"	"From [s]"	"To [s]"	"Corr. Area"	"% of Total"	"Average Size [bp]"	"Size distribution in CV [%]"	"Conc. [pg/µl]"	"Molarity [pmol/l]"	"Color"
"NA"	"L8477 10nM"	"Region 1"	"50.71"	"56.68"	"0.0"	"0"	"0"	"0.0"	"0.00"	"0.0"	"32768"
"NA"	"L8574 10nM"	"Region 1"	"50.71"	"56.68"	"58.9"	"1"	"125"	"2.4"	"68.84"	"833.5"	"32768"
"NA"	"L8575 10nM"	"Region 1"	"50.71"	"56.68"	"5.1"	"0"	"126"	"0.9"	"4.80"	"57.6"	"32768"
"NA"	"L8576 10nM"	"Region 1"	"50.71"	"56.68"	"0.3"	"0"	"127"	"0.5"	"0.28"	"3.4"	"32768"
"NA"	"L8577 10nM"	"Region 1"	"50.71"	"56.68"	"0.4"	"0"	"127"	"0.4"	"0.43"	"5.1"	"32768"
"NA"	"L8578 10nM"	"Region 1"	"50.71"	"56.68"	"0.6"	"0"	"126"	"0.8"	"0.56"	"6.7"	"32768"
"NA"	"L8579 10nM"	"Region 1"	"50.71"	"56.68"	"14.1"	"0"	"127"	"9.6"	"14.21"	"170.1"	"32768"
"NA"	"L8580 10nM"	"Region 1"	"50.71"	"56.68"	"2.8"	"0"	"124"	"0.9"	"2.48"	"30.2"	"32768"
"NA"	"L8581 10nM"	"Region 1"	"50.71"	"56.68"	"7.4"	"0"	"125"	"1.1"	"7.17"	"86.6"	"32768"
"NA"	"L8582 10nM"	"Region 1"	"50.71"	"56.68"	"0.2"	"0"	"123"	"0.5"	"0.24"	"2.9"	"32768"
"NA"	"L8583 10nM"	"Region 1"	"50.71"	"56.68"	"5.0"	"0"	"124"	"1.0"	"5.67"	"69.3"	"32768"
